"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WESF"
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-01",,,,,,"64","81","43",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-02",,,,,,"66","79","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-03",,,,,,"65","82","48",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-04",,,,,,"64","79","46",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-05",,,,,,"66","83","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-06",,,,,,"67","84","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-07",,,,,,"70","86","51",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-08",,,,,,"69","82","54",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-09",,,,,,"71","86","54",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-10",,,,,,"70","86","55",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-11",,,,,,"71","88","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-12",,,,,,"75","89","54",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-13",,,,,,"74","88","59",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-14",,,,,,"69","86","56",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-15",,,,,,"68","85","56",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-16",,,,,,"65","78","56",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-17",,,,,,"64","75","55",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-18",,,,,,"67","77","54",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-19",,,,,,"65","79","56",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-20",,,,,,"68","85","53",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-21",,,,,,"69","83","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-22",,,,,,"68","81","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-23",,,,,,"64","77","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-24",,,,,,"61","76","46",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-25",,,,,,"66","80","51",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-26",,,,,,"62","79","51",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-27",,,,,,"56","71","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-28",,,,,,"61","76","44",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-29",,,,,,"65","80","49",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-30",,,,,,"68","85","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-07-31",,,,,,"69","86","51",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-01",,,,,,"70","87","56",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-02",,,,,,"67","79","54",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-03",,,,,,"65","81","48",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-04",,,,,,"68","84","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-05",,,,,,"60","71","53",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-06",,,,,,"66","82","49",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-07",,,,,,"66","82","51",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-08",,,,,,"68","85","49",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-09",,,,,,"71","90","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-10",,,,,,"69","88","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-11",,,,,,"69","87","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-12",,,,,,"68","88","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-13",,,,,,"68","86","49",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-14",,,,,,"68","85","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-15",,,,,,"68","83","57",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-16",,,,,,"65","81","54",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-17",,,,,,"64","79","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-18",,,,,,"54","66","48",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-19",,,,,,"55","68","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-20",,,,,,"55","72","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-21",,,,,,"58","75","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-22",,,,,,"60","76","48",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-23",,,,,,"59","73","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-24",,,,,,"60","71","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-25",,,,,,"63","75","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-26",,,,,,"64","78","48",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-27",,,,,,"54","71","40",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-28",,,,,,"57","76","37",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-29",,,,,,"62","80","43",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-30",,,,,,"64","80","46",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-08-31",,,,,,"64","83","49",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-01",,,,,,"68","85","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-02",,,,,,"68","80","54",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-03",,,,,,"61","75","48",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-04",,,,,,"43","52","33",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-05",,,,,,"48","62","32",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-06",,,,,,"55","71","38",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-07",,,,,,"58","75","43",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-08",,,,,,"62","78","49",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-09",,,,,,"65","80","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-10",,,,,,"58","70","50",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-11",,,,,,"62","80","47",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-12",,,,,,"64","76","52",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-13",,,,,,"64","76","53",,
"USR0000CJAC","JACKS CANYON COLORADO, CO US","38.7533","-108.5797","2334.8","2004-09-14",,,,,,"60","75","38",,
