"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","DASF","FMTM","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDFG","WESD","WESF","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-02-28",,,,,,,,"0.21",,"1.2","2.0",,"28","19","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-01",,,,,,,,"0.00",,"0.0","0.0",,"23","16","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-02",,,,,,,,"0.18",,"3.5","4.0",,"37","8","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-03",,,,,,,,,,"0.0","1.0",,"45","12","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-04",,,,,,,,,,"0.0","0.0",,"48","15","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-05",,,,,,,,"0.05",,"1.0","1.0",,"40","8","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-06",,,,,,,,"0.00",,"0.0","0.0",,"40","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-07",,,,,,,,"0.00",,"0.0","0.0",,"54","32","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-08",,,,,,,,,,"0.0","0.0",,"59","35","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-09",,,,,,,,"0.00",,"0.0","0.0",,"61","31","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-10",,,,,,,,"0.00",,"0.0","0.0",,"60","34","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-11",,,,,,,,"0.00",,"0.0","0.0",,"62","35","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-12",,,,,,,,"0.00",,"0.0","0.0",,"65","38","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-13",,,,,,,,"0.00",,"0.0","0.0",,"66","33","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-14",,,,,,,,"0.00",,"0.0","0.0",,"73","38","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
